Entity,Code,Year,Percentage
Africa,,1966,11.538
Africa,,1967,4.388
Africa,,1968,16.971
Africa,,1969,16.699
Africa,,1970,25.02
Africa,,1971,-5.259
Africa,,1972,13.832
Africa,,1973,5.764
Africa,,1974,13.728
Africa,,1975,5.714
Africa,,1976,10.801
Africa,,1977,9.85
Africa,,1978,0.833
Africa,,1979,7.02
Africa,,1980,-2.507
Africa,,1981,3.9
Africa,,1982,0.062
Africa,,1983,-9.843
Africa,,1984,-1.656
Africa,,1985,11.168
Africa,,1986,4.195
Africa,,1987,-4.034
Africa,,1988,9.062
Africa,,1989,4.931
Africa,,1990,2.056
Africa,,1991,5.878
Africa,,1992,-4.491
Africa,,1993,-1.857
Africa,,1994,1.413
Africa,,1995,4.034
Africa,,1996,4.585
Africa,,1997,2.618
Africa,,1998,4.795
Africa,,1999,5.884
Africa,,2000,7.323
Africa,,2001,6.93
Africa,,2002,4.675
Africa,,2003,-2.736
Africa,,2004,5.311
Africa,,2005,1.066
Africa,,2006,3.6
Africa,,2007,2.36
Africa,,2008,1.556
Africa,,2009,2.406
Africa,,2010,7.6
Africa,,2011,2.655
Africa,,2012,0.421
Africa,,2013,6.015
Africa,,2014,7.054
Africa,,2015,2.074
Africa,,2016,-0.302
Africa,,2017,8.283
Africa,,2018,6.951
Africa,,2019,6.21
Africa,,2020,5.1
Algeria,DZA,1966,-11.25
Algeria,DZA,1967,15.493
Algeria,DZA,1968,37.317
Algeria,DZA,1969,-35.879
Algeria,DZA,1970,60.665
Algeria,DZA,1971,-43.103
Algeria,DZA,1972,50
Algeria,DZA,1973,51.919
Algeria,DZA,1974,-33.91
Algeria,DZA,1975,-34.004
Algeria,DZA,1976,18.598
Algeria,DZA,1977,-30.848
Algeria,DZA,1978,-7.063
Algeria,DZA,1979,16.4
Algeria,DZA,1980,-11.684
Algeria,DZA,1981,42.412
Algeria,DZA,1982,30.874
Algeria,DZA,1983,-50.939
Algeria,DZA,1984,92.34
Algeria,DZA,1985,42.92
Algeria,DZA,1986,-61.3
Algeria,DZA,1987,99.6
Algeria,DZA,1988,-63.327
Algeria,DZA,1989,23.497
Algeria,DZA,1990,-40.265
Algeria,DZA,1991,117.037
Algeria,DZA,1992,-32.082
Algeria,DZA,1993,77.387
Algeria,DZA,1994,-52.975
Algeria,DZA,1995,16.265
Algeria,DZA,1996,-30.052
Algeria,DZA,1997,-44.444
Algeria,DZA,1998,186.667
Algeria,DZA,1999,-5.581
Algeria,DZA,2000,-73.399
Algeria,DZA,2001,26.948
Algeria,DZA,2002,-17.924
Algeria,DZA,2003,361.932
Algeria,DZA,2004,-5.886
Algeria,DZA,2005,119.835
Algeria,DZA,2006,-61.06
Algeria,DZA,2007,3.211
Algeria,DZA,2008,24.443
Algeria,DZA,2009,20.102
Algeria,DZA,2010,-47.082
Algeria,DZA,2011,116.204
Algeria,DZA,2012,4.313
Algeria,DZA,2013,-69.491
Algeria,DZA,2014,97.868
Algeria,DZA,2015,-13.119
Algeria,DZA,2016,50.479
Algeria,DZA,2017,71.281
Algeria,DZA,2018,25.343
Algeria,DZA,2019,6.045
Algeria,DZA,2020,-15.625
Argentina,ARG,1966,1.306
Argentina,ARG,1967,2.417
Argentina,ARG,1968,17.86
Argentina,ARG,1969,-10.28
Argentina,ARG,1970,19.237
Argentina,ARG,1971,-0.541
Argentina,ARG,1972,-1.601
Argentina,ARG,1973,94.028
Argentina,ARG,1974,66.875
Argentina,ARG,1975,3.502
Argentina,ARG,1976,-3.667
Argentina,ARG,1977,14.944
Argentina,ARG,1978,34.129
Argentina,ARG,1979,37.64
Argentina,ARG,1980,41.751
Argentina,ARG,1981,-3.089
Argentina,ARG,1982,19.846
Argentina,ARG,1983,4.904
Argentina,ARG,1984,7.658
Argentina,ARG,1985,3.864
Argentina,ARG,1986,1.768
